design_id,ip_id,ip_name,product_type,product_type_name,year,quarter,season,month,week_of_year,is_holiday_season,theme,product_age,production_cost,popularity_trend,trend_score_current,trend_score_q1,trend_score_q2,trend_score_q3,trend_score_q4,trend_momentum,trend_volatility,social_reach,social_engagement,sentiment_score,viral_coefficient,competition_level,theme_saturation,retail_price,price_multiplier,sales_quantity,revenue,sellthrough_rate
lulu_2d_animation_2017_summer_暑假,lulu_pig,Lulu罐頭豬,2d_animation,2D視頻,2017,2,Summer,5,20,0,暑假,1,high,growing,95.0,91.3,97.28,90.64,89.05,3.7,3.12,5621,696,0.7731,0.1238,high,0.6945760268368213,358.8,1.2,2664,955972.64,0.9396
lulu_3d_animation_2017_summer_海洋主題,lulu_pig,Lulu罐頭豬,3d_animation,3D視頻,2017,2,Summer,5,20,0,海洋主題,1,very_high,growing,90.25,97.43,93.26,81.84,76.11,-7.18,8.56,5213,543,0.7725,0.1042,medium,0.37304879222658494,284.05,0.95,3506,996086.46,0.9428
lulu_3d_animation_2017_summer_兒童節,lulu_pig,Lulu罐頭豬,3d_animation,3D視頻,2017,2,Summer,5,20,0,兒童節,1,very_high,growing,95.0,86.18,109.43,96.21,103.36,8.82,8.66,6460,782,0.6596,0.1211,medium,0.7509405876525552,328.9,1.1,3112,1023813.85,0.7869
lulu_3d_animation_2017_summer_暑假,lulu_pig,Lulu罐頭豬,3d_animation,3D視頻,2017,2,Summer,5,20,0,暑假,1,very_high,growing,95.0,101.65,82.49,97.92,83.75,-6.65,8.45,4642,535,0.7911,0.1153,high,0.5511490556787536,358.8,1.2,3100,1112474.74,0.9083
lulu_3d_animation_2017_summer_端午節,lulu_pig,Lulu罐頭豬,3d_animation,3D視頻,2017,2,Summer,5,20,0,端午節,1,very_high,growing,95.0,88.74,87.79,94.89,95.62,6.26,3.52,6951,635,0.701,0.0914,medium,0.3101639500727949,299.0,1.0,3291,984105.72,0.8197
lulu_comic_2017_summer_海洋主題,lulu_pig,Lulu罐頭豬,comic,漫畫,2017,2,Summer,5,20,0,海洋主題,1,medium,stable,94.18,101.54,88.88,87.72,91.5,-7.36,5.45,3944,463,0.8198,0.1174,medium,0.7111962637589135,284.05,0.95,1901,540081.04,0.8094
lulu_comic_2017_summer_兒童節,lulu_pig,Lulu罐頭豬,comic,漫畫,2017,2,Summer,5,20,0,兒童節,1,medium,stable,95.0,102.35,85.61,94.1,96.56,-7.35,6.02,4393,533,0.8345,0.1213,medium,0.31835201474444075,328.9,1.1,1961,645275.93,0.9487
lulu_comic_2017_summer_端午節,lulu_pig,Lulu罐頭豬,comic,漫畫,2017,2,Summer,5,20,0,端午節,1,medium,stable,95.0,95.06,95.26,102.32,95.99,-0.06,3.0,3384,319,0.6956,0.0943,medium,0.5351993040421191,299.0,1.0,1940,580276.57,0.8746
lulu_single_visual_2017_summer_兒童節,lulu_pig,Lulu罐頭豬,single_visual,視覺圖,2017,2,Summer,5,20,0,兒童節,1,low,growing,95.0,94.86,79.55,106.98,95.19,0.14,9.74,3447,295,0.7505,0.0856,medium,0.5332769215327404,328.9,1.1,2464,810522.38,0.7618
lulu_single_visual_2017_summer_端午節,lulu_pig,Lulu罐頭豬,single_visual,視覺圖,2017,2,Summer,5,20,0,端午節,1,low,growing,95.0,90.68,103.98,87.72,71.9,4.32,11.41,3313,488,0.8594,0.1473,medium,0.7705680214709658,299.0,1.0,2483,742564.39,0.9161
lulu_single_visual_2017_summer_海洋主題,lulu_pig,Lulu罐頭豬,single_visual,視覺圖,2017,2,Summer,5,20,0,海洋主題,1,low,growing,95.0,92.04,96.98,98.49,104.85,2.96,4.58,4663,692,0.6986,0.1484,medium,0.48647386622324723,284.05,0.95,2414,685801.8,0.7634
lulu_single_visual_2017_summer_暑假,lulu_pig,Lulu罐頭豬,single_visual,視覺圖,2017,2,Summer,5,20,0,暑假,1,low,growing,95.0,102.21,90.96,101.41,98.52,-7.21,4.44,4035,466,0.6633,0.1155,high,0.5511255287056943,358.8,1.2,2497,896173.55,0.9017
lulu_collaboration_2017_summer_暑假,lulu_pig,Lulu罐頭豬,collaboration,聯乘,2017,2,Summer,5,20,0,暑假,1,very_high,growing,95.0,86.86,89.43,85.78,95.13,8.14,3.62,6197,615,0.8365,0.0992,high,0.6330138414231866,358.8,1.2,3736,1340477.64,0.7562
lulu_collaboration_2017_summer_兒童節,lulu_pig,Lulu罐頭豬,collaboration,聯乘,2017,2,Summer,5,20,0,兒童節,1,very_high,growing,95.0,90.34,97.47,92.19,107.4,4.66,6.63,7014,765,0.723,0.1091,medium,0.4450568443428192,328.9,1.1,3865,1271460.6,0.7539
lulu_collaboration_2017_summer_海洋主題,lulu_pig,Lulu罐頭豬,collaboration,聯乘,2017,2,Summer,5,20,0,海洋主題,1,very_high,growing,89.32,81.48,95.56,76.89,83.39,7.83,6.9,5623,476,0.7345,0.0847,medium,0.6463881058534102,284.05,0.95,3286,933417.86,0.7506
lulu_lulu_world_2017_summer_暑假,lulu_pig,Lulu罐頭豬,lulu_world,LuLu World,2017,2,Summer,5,20,0,暑假,1,high,growing,95.0,99.93,91.96,94.23,93.41,-4.93,3.02,5602,807,0.8132,0.1441,high,0.6060410073505199,358.8,1.2,2729,979497.31,0.9439
lulu_lulu_world_2017_summer_兒童節,lulu_pig,Lulu罐頭豬,lulu_world,LuLu World,2017,2,Summer,5,20,0,兒童節,1,high,growing,95.0,87.58,91.18,95.2,85.09,7.42,3.82,5589,682,0.8987,0.122,medium,0.39336343616977765,328.9,1.1,2923,961506.05,0.8744
lulu_lulu_world_2017_summer_海洋主題,lulu_pig,Lulu罐頭豬,lulu_world,LuLu World,2017,2,Summer,5,20,0,海洋主題,1,high,growing,95.0,89.23,96.84,86.28,105.4,5.77,7.41,4736,662,0.8392,0.1398,medium,0.771487077388082,284.05,0.95,3026,859761.67,0.8997
lulu_lulu_world_2017_summer_端午節,lulu_pig,Lulu罐頭豬,lulu_world,LuLu World,2017,2,Summer,5,20,0,端午節,1,high,growing,95.0,90.88,94.63,85.11,101.33,4.12,5.89,4485,365,0.7894,0.0814,medium,0.4816018574366741,299.0,1.0,2609,780185.02,0.8358
lulu_pr_seeding_2017_summer_兒童節,lulu_pig,Lulu罐頭豬,pr_seeding,公關,2017,2,Summer,5,20,0,兒童節,1,medium,stable,95.0,86.94,97.77,81.69,102.84,8.06,8.4,3728,330,0.7965,0.0885,medium,0.3967031327382805,328.9,1.1,1689,555599.15,0.9222
lulu_pr_seeding_2017_summer_暑假,lulu_pig,Lulu罐頭豬,pr_seeding,公關,2017,2,Summer,5,20,0,暑假,1,medium,stable,95.0,97.02,104.57,83.44,105.54,-2.02,8.84,3662,360,0.7899,0.0983,high,0.32354208319621175,358.8,1.2,1431,513674.64,0.8689
lulu_pr_seeding_2017_summer_端午節,lulu_pig,Lulu罐頭豬,pr_seeding,公關,2017,2,Summer,5,20,0,端午節,1,medium,stable,95.0,105.99,90.64,101.06,96.6,-10.99,5.66,3642,419,0.8552,0.115,medium,0.7827097732725344,299.0,1.0,1663,497391.75,0.862
lulu_sticker_2017_summer_海洋主題,lulu_pig,Lulu罐頭豬,sticker,表情包/貼圖,2017,2,Summer,5,20,0,海洋主題,1,low,growing,95.0,83.85,84.71,106.69,103.44,11.15,10.46,6477,739,0.8723,0.1141,medium,0.4279176185263638,284.05,0.95,3900,1107909.42,0.8347
lulu_sticker_2017_summer_兒童節,lulu_pig,Lulu罐頭豬,sticker,表情包/貼圖,2017,2,Summer,5,20,0,兒童節,1,low,growing,95.0,102.6,107.76,99.42,101.03,-7.6,3.13,8175,1066,0.7339,0.1304,medium,0.4978891993389078,328.9,1.1,4278,1407043.0,0.9266
lulu_sticker_2017_summer_暑假,lulu_pig,Lulu罐頭豬,sticker,表情包/貼圖,2017,2,Summer,5,20,0,暑假,1,low,growing,95.0,102.78,115.06,93.96,96.3,-7.78,8.19,6783,957,0.8824,0.1411,high,0.329604842895004,358.8,1.2,4470,1604026.23,0.9033
lulu_sticker_2017_summer_端午節,lulu_pig,Lulu罐頭豬,sticker,表情包/貼圖,2017,2,Summer,5,20,0,端午節,1,low,growing,95.0,97.72,106.39,94.78,88.47,-2.72,6.45,7329,650,0.7831,0.0887,medium,0.3156688258290031,299.0,1.0,4136,1236684.57,0.9121
lulu_campaign_2017_summer_暑假,lulu_pig,Lulu罐頭豬,campaign,活動,2017,2,Summer,5,20,0,暑假,1,high,growing,95.0,88.75,84.4,89.33,87.06,6.25,1.91,5690,799,0.7427,0.1404,high,0.4375987231970494,358.8,1.2,3014,1081640.83,0.8358
lulu_campaign_2017_summer_端午節,lulu_pig,Lulu罐頭豬,campaign,活動,2017,2,Summer,5,20,0,端午節,1,high,growing,95.0,94.09,108.09,114.93,99.27,0.91,8.02,5419,640,0.7829,0.1181,medium,0.47488135718312247,299.0,1.0,3419,1022425.03,0.8032
lulu_campaign_2017_summer_海洋主題,lulu_pig,Lulu罐頭豬,campaign,活動,2017,2,Summer,5,20,0,海洋主題,1,high,growing,95.0,95.31,99.04,106.71,100.5,-0.31,4.11,5075,750,0.6881,0.1478,medium,0.42048864150699977,284.05,0.95,3170,900658.13,0.8511
lulu_campaign_2017_summer_兒童節,lulu_pig,Lulu罐頭豬,campaign,活動,2017,2,Summer,5,20,0,兒童節,1,high,growing,95.0,108.51,80.49,93.04,90.51,-13.51,10.04,5848,855,0.7635,0.1462,medium,0.5039397024301064,328.9,1.1,3201,1052945.5,0.8751
lulu_2d_animation_2017_fall_萬聖節,lulu_pig,Lulu罐頭豬,2d_animation,2D視頻,2017,3,Fall,8,33,0,萬聖節,1,high,growing,95.0,92.34,103.98,106.63,97.28,2.66,5.61,4717,705,0.8357,0.1495,medium,0.3041080095022613,299.0,1.0,2795,835850.8,0.8315
lulu_2d_animation_2017_fall_中秋節,lulu_pig,Lulu罐頭豬,2d_animation,2D視頻,2017,3,Fall,8,33,0,中秋節,1,high,growing,95.0,101.53,109.95,86.21,104.35,-6.53,8.8,4888,607,0.8972,0.1242,high,0.34205351725361516,373.75,1.25,2699,1009084.36,0.7543
lulu_2d_animation_2017_fall_感恩節,lulu_pig,Lulu罐頭豬,2d_animation,2D視頻,2017,3,Fall,8,33,0,感恩節,1,high,growing,95.0,87.45,84.05,95.25,85.66,7.55,4.3,4111,426,0.7232,0.1036,low,0.5622774201551728,269.1,0.9,2804,754663.23,0.9268
lulu_2d_animation_2017_fall_開學季,lulu_pig,Lulu罐頭豬,2d_animation,2D視頻,2017,3,Fall,8,33,0,開學季,1,high,growing,95.0,73.9,103.36,96.18,89.84,21.1,10.88,5749,762,0.653,0.1325,high,0.559721354669534,328.9,1.1,2447,804990.2,0.7622
lulu_3d_animation_2017_fall_感恩節,lulu_pig,Lulu罐頭豬,3d_animation,3D視頻,2017,3,Fall,8,33,0,感恩節,1,very_high,growing,87.89,82.79,80.2,81.84,92.53,5.1,4.82,6032,661,0.8408,0.1096,low,0.32283057275891536,269.1,0.9,3072,826936.55,0.8331
lulu_3d_animation_2017_fall_萬聖節,lulu_pig,Lulu罐頭豬,3d_animation,3D視頻,2017,3,Fall,8,33,0,萬聖節,1,very_high,growing,95.0,97.42,101.33,95.45,110.96,-2.42,5.97,4448,430,0.8539,0.0967,medium,0.691689501142426,299.0,1.0,3230,965989.85,0.7615
lulu_3d_animation_2017_fall_開學季,lulu_pig,Lulu罐頭豬,3d_animation,3D視頻,2017,3,Fall,8,33,0,開學季,1,very_high,growing,95.0,90.41,100.27,99.72,83.24,4.59,7.06,7083,575,0.8183,0.0812,high,0.32196365180548464,328.9,1.1,3233,1063438.56,0.9277
lulu_comic_2017_fall_萬聖節,lulu_pig,Lulu罐頭豬,comic,漫畫,2017,3,Fall,8,33,0,萬聖節,1,medium,stable,95.0,81.28,86.28,86.38,89.36,13.72,2.9,3642,374,0.7661,0.1027,medium,0.48246420238623783,299.0,1.0,2126,635871.33,0.8501
lulu_comic_2017_fall_感恩節,lulu_pig,Lulu罐頭豬,comic,漫畫,2017,3,Fall,8,33,0,感恩節,1,medium,stable,91.06,77.53,95.49,82.91,96.44,13.52,8.1,3131,295,0.7698,0.0942,low,0.6951535079829347,269.1,0.9,1821,490131.12,0.8176
lulu_comic_2017_fall_中秋節,lulu_pig,Lulu罐頭豬,comic,漫畫,2017,3,Fall,8,33,0,中秋節,1,medium,stable,95.0,103.6,79.34,108.43,96.61,-8.6,11.03,3394,318,0.6786,0.0937,high,0.41586172054295234,373.75,1.25,1646,615194.14,0.759
lulu_comic_2017_fall_開學季,lulu_pig,Lulu罐頭豬,comic,漫畫,2017,3,Fall,8,33,0,開學季,1,medium,stable,95.0,92.22,85.3,97.65,100.21,2.78,5.71,3840,521,0.7204,0.1357,high,0.3729774188141125,328.9,1.1,2002,658529.55,0.8835
lulu_single_visual_2017_fall_萬聖節,lulu_pig,Lulu罐頭豬,single_visual,視覺圖,2017,3,Fall,8,33,0,萬聖節,1,low,growing,95.0,80.66,84.29,90.61,91.63,14.34,4.52,4411,606,0.8999,0.1374,medium,0.6046566806327311,299.0,1.0,2576,770345.38,0.8274
lulu_single_visual_2017_fall_中秋節,lulu_pig,Lulu罐頭豬,single_visual,視覺圖,2017,3,Fall,8,33,0,中秋節,1,low,growing,95.0,106.45,99.99,85.14,83.21,-11.45,9.82,4459,498,0.7817,0.1117,high,0.7079786781783668,373.75,1.25,2471,923834.94,0.832
lulu_single_visual_2017_fall_感恩節,lulu_pig,Lulu罐頭豬,single_visual,視覺圖,2017,3,Fall,8,33,0,感恩節,1,low,growing,91.34,85.76,84.19,73.54,83.34,5.58,4.79,3287,363,0.8737,0.1104,low,0.7418079941724908,269.1,0.9,2299,618869.13,0.8971
lulu_collaboration_2017_fall_感恩節,lulu_pig,Lulu罐頭豬,collaboration,聯乘,2017,3,Fall,8,33,0,感恩節,1,very_high,growing,95.0,99.16,101.04,108.41,99.68,-4.16,3.73,8052,650,0.816,0.0807,low,0.45577823858562627,269.1,0.9,3980,1071061.35,0.9284
lulu_collaboration_2017_fall_開學季,lulu_pig,Lulu罐頭豬,collaboration,聯乘,2017,3,Fall,8,33,0,開學季,1,very_high,growing,95.0,92.74,108.52,102.02,101.95,2.26,5.62,5844,506,0.8945,0.0866,high,0.7626694100858137,328.9,1.1,3616,1189429.29,0.7911
lulu_collaboration_2017_fall_萬聖節,lulu_pig,Lulu罐頭豬,collaboration,聯乘,2017,3,Fall,8,33,0,萬聖節,1,very_high,growing,95.0,88.2,79.5,99.79,91.24,6.8,7.25,5260,508,0.6978,0.0966,medium,0.7503287940543937,299.0,1.0,3978,1189460.01,0.7749
lulu_collaboration_2017_fall_中秋節,lulu_pig,Lulu罐頭豬,collaboration,聯乘,2017,3,Fall,8,33,0,中秋節,1,very_high,growing,95.0,96.19,95.26,91.03,89.12,-1.19,2.92,5730,820,0.7564,0.1431,high,0.6435558933511727,373.75,1.25,3391,1267575.02,0.8016
lulu_lulu_world_2017_fall_感恩節,lulu_pig,Lulu罐頭豬,lulu_world,LuLu World,2017,3,Fall,8,33,0,感恩節,1,high,growing,91.22,83.88,96.29,86.53,82.16,7.34,5.46,3870,490,0.7621,0.1266,low,0.7534461476516785,269.1,0.9,3021,813078.92,0.7895
lulu_lulu_world_2017_fall_中秋節,lulu_pig,Lulu罐頭豬,lulu_world,LuLu World,2017,3,Fall,8,33,0,中秋節,1,high,growing,95.0,98.38,92.64,99.4,85.86,-3.38,5.39,6018,855,0.7683,0.1421,high,0.6567909677795898,373.75,1.25,2499,934196.4,0.898
lulu_lulu_world_2017_fall_開學季,lulu_pig,Lulu罐頭豬,lulu_world,LuLu World,2017,3,Fall,8,33,0,開學季,1,high,growing,95.0,75.89,109.06,107.15,85.47,19.11,14.14,5021,504,0.7832,0.1004,high,0.5433472833677115,328.9,1.1,2753,905699.56,0.8305
lulu_lulu_world_2017_fall_萬聖節,lulu_pig,Lulu罐頭豬,lulu_world,LuLu World,2017,3,Fall,8,33,0,萬聖節,1,high,growing,95.0,92.68,95.93,95.47,102.27,2.32,3.51,5471,491,0.8371,0.0897,medium,0.5650067487175752,299.0,1.0,2671,798663.65,0.8637
lulu_pr_seeding_2017_fall_感恩節,lulu_pig,Lulu罐頭豬,pr_seeding,公關,2017,3,Fall,8,33,0,感恩節,1,medium,stable,92.12,109.73,89.85,95.56,82.96,-17.61,9.85,3188,266,0.8839,0.0834,low,0.39711742200871947,269.1,0.9,1740,468327.3,0.8108
lulu_pr_seeding_2017_fall_開學季,lulu_pig,Lulu罐頭豬,pr_seeding,公關,2017,3,Fall,8,33,0,開學季,1,medium,stable,95.0,108.17,89.88,84.13,118.13,-13.17,13.69,2813,274,0.7249,0.0974,high,0.531531638002833,328.9,1.1,1726,567793.36,0.9497
